Or,FreeFlow,Car_Avg,PT_Avg,FullFreq,POP2017
07920564,1318521,1189679,833975,1085402,3011
07920565,1318172,1190793,808859,1027232,4310
07920566,1339312,1215555,775751,1005565,10388
07920567,1342687,1203885,785120,1010553,6755
07920568,1366852,1249759,811831,1071684,14414
07920569,1334827,1199903,871405,1094678,5650
07920570,1349370,1205238,852451,1062340,3592
07920571,1351518,1212614,833631,1061124,7614
07920572,1336068,1214039,811400,1033582,6679
07920573,1364130,1220517,600760,757713,0
07921574,1377227,1300847,517325,758328,598
07921575,1326039,1249148,670075,928110,94
07921576,1287265,1204295,712348,995618,10111
07921577,1286176,1203211,790732,1026233,6797
07921578,1378737,1295947,815632,1166025,1
07921579,1380087,1280722,732361,1115737,0
07921580,1311032,1226769,711504,1070294,7364
07921581,1328911,1237754,736060,1074849,7722
07921582,1368841,1269397,753253,1156902,4323
07921583,1355526,1261891,795874,1178472,7348
07921584,1360809,1265929,672432,1050721,1117
07921585,1325482,1244719,755807,968480,1093
